stop_id,access_lat,access_lon
par_4_42,40.44671,-3.70428
par_4_266,40.4802,-3.66682
par_4_54,40.43056,-3.71442
par_4_55,40.42988,-3.70604
par_4_56,40.42904,-3.70166
par_4_61,40.42421,-3.6761
par_4_81,40.43104,-3.66329
par_4_82,40.43463,-3.67509
par_4_85,40.42744,-3.69593
par_4_87,40.41986,-3.70158
par_4_88,40.41971,-3.70549
par_4_89,40.41806,-3.70936
par_4_106,40.38844,-3.73127
par_4_110,40.39159,-3.69484
par_4_112,40.40157,-3.67428
par_4_116,40.4282,-3.66951
par_4_117,40.43463,-3.67509
par_4_121,40.44671,-3.70428
par_4_126,40.43056,-3.71442
par_4_137,40.43529,-3.64348
par_4_144,40.43832,-3.70412
par_4_146,40.4457,-3.71401
par_4_157,40.4689,-3.63833
par_4_167,40.4567,-3.67717
par_4_171,40.43281,-3.68313
par_4_172,40.42308,-3.67976
par_4_174,40.41461,-3.66974
par_4_194,40.43792,-3.69138
par_4_195,40.42744,-3.69593
par_4_196,40.4263,-3.70067
par_4_197,40.42319,-3.71097
par_4_201,40.40318,-3.7609
par_4_209,40.34543,-3.81161
par_4_237,40.41806,-3.70936
